GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS
104,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,5,2,8:02,12.2,2,3.3,18.3,2,missed,"Harkless, Maurice",203090,1.7,0,0
105,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,6,2,6:07,18.7,0,0.6,3.5,2,made,"Oladipo, Victor",203506,2.8,1,2
106,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,7,2,1:01,12.2,5,5.6,14.9,2,made,"Payton, Elfrid",203901,1.5,1,2
107,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,8,3,11:17,12.6,3,3.0,4.5,2,made,"Vucevic, Nikola",202696,1.4,1,2
108,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,9,3,4:43,6.2,1,1.4,6.6,2,missed,"Oladipo, Victor",203506,0.7,0,0
109,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,10,3,3:16,11.2,2,2.4,7.0,2,missed,"Gordon, Aaron",203932,0.8,0,0
110,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,11,3,2:21,16.2,7,5.3,16.9,2,made,"Gordon, Aaron",203932,4.2,1,2
111,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,12,4,0:33,16.6,4,3.0,5.4,2,missed,"Gordon, Aaron",203932,1.7,0,0
112,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,1,1,11:51,15.8,0,0.8,16.7,2,missed,"Johnson, Amir",101161,5.1,0,0
113,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,2,1,8:40,19.0,0,1.3,0.8,2,made,"Vasquez, Greivis",202349,4.1,1,2
114,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,3,1,6:17,11.3,1,2.5,10.9,2,missed,"DeRozan, DeMar",201942,2.1,0,0
115,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,4,1,3:17,10.8,1,2.0,7.0,2,missed,"DeRozan, DeMar",201942,1.9,0,0
116,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,5,1,2:05,2.7,0,0.8,25.2,3,missed,"Ross, Terrence",203082,5.8,0,0
117,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,6,2,11:19,5.4,8,6.2,16.1,2,made,"Johnson, James",201949,4.7,1,2
118,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,7,2,10:16,12.7,0,2.0,17.4,2,missed,"Johnson, James",201949,4.9,0,0
119,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,8,2,7:01,12.3,1,2.4,6.2,2,missed,"Vasquez, Greivis",202349,1.3,0,0
120,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,9,2,0:02,,6,5.4,14.8,2,missed,"DeRozan, DeMar",201942,2.9,0,0
121,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,10,3,11:30,13.3,1,3.9,21.1,2,made,"DeRozan, DeMar",201942,5.5,1,2
122,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,11,3,10:24,13.0,1,1.6,17.2,2,made,"DeRozan, DeMar",201942,4.5,1,2
123,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,12,3,7:52,14.8,2,2.9,17.9,2,missed,"DeRozan, DeMar",201942,2.5,0,0
124,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,13,3,5:19,18.5,6,6.1,7.5,2,made,"Valanciunas, Jonas",202685,1.8,1,2
125,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,14,3,2:28,11.5,0,3.0,11.7,2,made,"DeRozan, DeMar",201942,2.1,1,2
126,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,15,4,11:46,9.7,3,3.6,17.6,2,missed,"Johnson, James",201949,3.6,0,0
127,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,16,4,9:29,18.1,7,6.7,5.1,2,missed,"Hansbrough, Tyler",201946,1.6,0,0
128,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,17,4,7:20,13.3,2,2.0,4.6,2,missed,"Patterson, Patrick",202335,1.9,0,0
129,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,18,4,6:18,12.1,5,7.1,12.5,2,missed,"Johnson, James",201949,5.0,0,0
130,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,19,4,4:57,17.0,1,1.1,3.7,2,made,"Williams, Lou",101150,3.3,1,2
131,0021401119,"APR 01, 2015 - MIN vs. TOR",H,L,-14,20,4,3:07,12.1,4,4.0,3.1,2,made,"Caboclo, Bruno",203998,2.3,1,2
